median_realized_corr,corr_projection_fraction,review_harm_fraction,review_sign_change_fraction,model,setting,n,median_effective_autonomy,median_abs_dJ_dH,median_abs_dJ_dV,median_abs_dJ_dS,median_specification_share
0.0,0.0,,,correlated_errors,corr=+0.00;autonomy=0.00,768,0.0,0.2709999999973688,0.13349999999954482,0.10899999999848316,0.13613794459049577
0.0,0.0,,,correlated_errors,corr=+0.00;autonomy=0.25,768,0.25,0.20324999999802656,0.10012500000215314,0.13175000000166326,0.20354226067944436
0.0,0.0,,,correlated_errors,corr=+0.00;autonomy=0.50,768,0.5,0.1354999999986844,0.06674999999977241,0.1544999999994435,0.3083884971542161
0.0,0.0,,,correlated_errors,corr=+0.00;autonomy=0.75,768,0.75,0.0677499999993422,0.03337499999979357,0.1772499999999993,0.5049167138449897
0.0,0.0,,,correlated_errors,corr=+0.00;autonomy=1.00,768,1.0,0.0,0.0,0.20000000000055512,1.0
0.0,0.0,0.34765625,,correlated_errors,corr=+0.00;gating_harm,768,,,,,
0.3999999999999999,0.3125,,,correlated_errors,corr=+0.40;autonomy=0.00,768,0.0,0.29999999999888977,0.05477888951064015,0.12601300781478625,0.17792166948056148
0.3999999999999999,0.3125,,,correlated_errors,corr=+0.40;autonomy=0.25,768,0.25,0.22499999999791834,0.04108416713240849,0.14450975585914677,0.24953337008043516
0.3999999999999999,0.3125,,,correlated_errors,corr=+0.40;autonomy=0.50,768,0.5,0.14999999999861222,0.027389444753932297,0.1630065039062829,0.35795506625533446
0.3999999999999999,0.3125,,,correlated_errors,corr=+0.40;autonomy=0.75,768,0.75,0.07499999999930611,0.01369472237557837,0.18150325195619454,0.5538734290645848
0.3999999999999999,0.3125,,,correlated_errors,corr=+0.40;autonomy=1.00,768,1.0,0.0,0.0,0.20000000000055512,1.0
0.3999999999999999,0.3125,0.4635416666666667,,correlated_errors,corr=+0.40;gating_harm,768,,,,,
-0.30240924216730486,0.640625,,,correlated_errors,corr=-0.40;autonomy=0.00,768,0.0,0.20053262410981934,0.19000000000077716,0.09999999999195089,0.10456255500622769
-0.30240924216730486,0.640625,,,correlated_errors,corr=-0.40;autonomy=0.25,768,0.25,0.15039946808583393,0.14250000000058285,0.12499999999514277,0.17205398704576114
-0.30240924216730486,0.640625,,,correlated_errors,corr=-0.40;autonomy=0.50,768,0.5,0.100266312059073,0.09500000000038858,0.1499999999936856,0.27799022455589034
-0.30240924216730486,0.640625,,,correlated_errors,corr=-0.40;autonomy=0.75,768,0.75,0.0501331560295365,0.04750000000019429,0.17499999999653054,0.4752779194621063
-0.30240924216730486,0.640625,,,correlated_errors,corr=-0.40;autonomy=1.00,768,1.0,0.0,0.0,0.20000000000055512,1.0
-0.30240924216730486,0.640625,0.29296875,,correlated_errors,corr=-0.40;gating_harm,768,,,,,
,,0.2421875,0.06901041666666667,selective_review,regime=agent_steeper;threshold=0.55,768,0.8564427401636112,0.05666440200956595,0.03570993726564752,0.14112494879950394,0.4044424955816758
,,0.24739583333333334,0.06901041666666667,selective_review,regime=agent_steeper;threshold=0.65,768,0.7259850213826313,0.09790487491323643,0.06121372253541582,0.13372885198708961,0.3030141279464288
,,0.2630208333333333,0.06901041666666667,selective_review,regime=agent_steeper;threshold=0.75,768,0.5736565281358368,0.13687947265108297,0.08855251811031084,0.12711043838933406,0.22816817439150391
,,0.28515625,0.06901041666666667,selective_review,regime=agent_steeper;threshold=0.85,768,0.36686376500245294,0.18002404856358506,0.11271556422114487,0.12056093076661423,0.18116702647625743
,,0.3111979166666667,0.06901041666666667,selective_review,regime=agent_steeper;threshold=0.95,768,0.0929377435801395,0.23526356857202435,0.1290595494837355,0.11663922998304713,0.1536157298751749
,,0.4635416666666667,0.0859375,selective_review,regime=human_steeper;threshold=0.55,768,0.994861066884555,0.00140029104423538,0.000480389697466028,0.19741433929556018,0.9088164932261638
,,0.4453125,0.0859375,selective_review,regime=human_steeper;threshold=0.65,768,0.9136423772082776,0.025273427536930758,0.009514335652651062,0.1709525114698138,0.5090374476031547
,,0.4296875,0.0859375,selective_review,regime=human_steeper;threshold=0.75,768,0.6468843397227454,0.09812661448134069,0.044332232840484626,0.1379593368550819,0.24683835383924232
,,0.4010416666666667,0.0859375,selective_review,regime=human_steeper;threshold=0.85,768,0.2699828524910315,0.16772394570459842,0.09160492723275174,0.1305648379551999,0.17906090657524387
,,0.3776041666666667,0.0859375,selective_review,regime=human_steeper;threshold=0.95,768,0.024199604300982946,0.2199217997443953,0.11880225337433603,0.11980891983253317,0.15994759762756053
,,0.34765625,0.0,selective_review,regime=matched;threshold=0.55,768,0.9500539915862612,0.016794995985690394,0.007713776420385012,0.16566396163516023,0.6021361125556266
,,0.34765625,0.0,selective_review,regime=matched;threshold=0.65,768,0.8001901173941137,0.06715193131032224,0.034506863464002724,0.14794186574988621,0.36002370339512074
,,0.34765625,0.0,selective_review,regime=matched;threshold=0.75,768,0.5983941508564822,0.12330474347143683,0.06374349715316951,0.13363369507418432,0.24461514774798093
,,0.34765625,0.0,selective_review,regime=matched;threshold=0.85,768,0.3294539460019162,0.17785063249423533,0.09917312280855356,0.12580677701863163,0.18190053463397732
,,0.34765625,0.0,selective_review,regime=matched;threshold=0.95,768,0.05389123901077031,0.22775489170774993,0.12072980801457606,0.12001048330400257,0.15719978225037706
